country,year,indicator,metric_name,value
USA,2008,SI.POV.GINI,gini_index,39.225658617777384
USA,2008,SI.DST.FRST.20,bottom_20_share,4.08
USA,2008,SI.DST.10TH.10,top_10_share,33.54
CHN,2008,SI.POV.GINI,gini_index,49.0
CHN,2008,SI.DST.FRST.20,bottom_20_share,6.26
CHN,2008,SI.DST.10TH.10,top_10_share,38.8
USA,2009,SI.POV.GINI,gini_index,39.22023161343485
USA,2009,SI.DST.FRST.20,bottom_20_share,4.04
USA,2009,SI.DST.10TH.10,top_10_share,33.72
CHN,2009,SI.POV.GINI,gini_index,48.8
CHN,2009,SI.DST.FRST.20,bottom_20_share,6.18
CHN,2009,SI.DST.10TH.10,top_10_share,38.65
USA,2010,SI.POV.GINI,gini_index,39.22798944455531
USA,2010,SI.DST.FRST.20,bottom_20_share,4.0
USA,2010,SI.DST.10TH.10,top_10_share,33.9
CHN,2010,SI.POV.GINI,gini_index,48.6
CHN,2010,SI.DST.FRST.20,bottom_20_share,6.1
CHN,2010,SI.DST.10TH.10,top_10_share,38.5
USA,2011,SI.POV.GINI,gini_index,39.26569185888839
USA,2011,SI.DST.FRST.20,bottom_20_share,3.96
USA,2011,SI.DST.10TH.10,top_10_share,34.08
CHN,2011,SI.POV.GINI,gini_index,48.4
CHN,2011,SI.DST.FRST.20,bottom_20_share,6.02
CHN,2011,SI.DST.10TH.10,top_10_share,38.349999999999994
USA,2012,SI.POV.GINI,gini_index,39.34680212158094
USA,2012,SI.DST.FRST.20,bottom_20_share,3.92
USA,2012,SI.DST.10TH.10,top_10_share,34.26
CHN,2012,SI.POV.GINI,gini_index,48.2
CHN,2012,SI.DST.FRST.20,bottom_20_share,5.9399999999999995
CHN,2012,SI.DST.10TH.10,top_10_share,38.199999999999996
USA,2013,SI.POV.GINI,gini_index,39.48000489672465
USA,2013,SI.DST.FRST.20,bottom_20_share,3.88
USA,2013,SI.DST.10TH.10,top_10_share,34.44
CHN,2013,SI.POV.GINI,gini_index,48.0
CHN,2013,SI.DST.FRST.20,bottom_20_share,5.859999999999999
CHN,2013,SI.DST.10TH.10,top_10_share,38.05
USA,2014,SI.POV.GINI,gini_index,39.66825018649226
USA,2014,SI.DST.FRST.20,bottom_20_share,3.84
USA,2014,SI.DST.10TH.10,top_10_share,34.62
CHN,2014,SI.POV.GINI,gini_index,47.8
CHN,2014,SI.DST.FRST.20,bottom_20_share,5.779999999999999
CHN,2014,SI.DST.10TH.10,top_10_share,37.9
USA,2015,SI.POV.GINI,gini_index,39.90842857688171
USA,2015,SI.DST.FRST.20,bottom_20_share,3.8
USA,2015,SI.DST.10TH.10,top_10_share,34.8
CHN,2015,SI.POV.GINI,gini_index,47.6
CHN,2015,SI.DST.FRST.20,bottom_20_share,5.699999999999999
CHN,2015,SI.DST.10TH.10,top_10_share,37.75
USA,2016,SI.POV.GINI,gini_index,40.191713540999785
USA,2016,SI.DST.FRST.20,bottom_20_share,3.7600000000000002
USA,2016,SI.DST.10TH.10,top_10_share,34.98
CHN,2016,SI.POV.GINI,gini_index,47.25
CHN,2016,SI.DST.FRST.20,bottom_20_share,6.22
CHN,2016,SI.DST.10TH.10,top_10_share,37.599999999999994
USA,2017,SI.POV.GINI,gini_index,40.50453311704942
USA,2017,SI.DST.FRST.20,bottom_20_share,3.72
USA,2017,SI.DST.10TH.10,top_10_share,35.16
CHN,2017,SI.POV.GINI,gini_index,46.9
CHN,2017,SI.DST.FRST.20,bottom_20_share,6.34
CHN,2017,SI.DST.10TH.10,top_10_share,37.449999999999996
USA,2018,SI.POV.GINI,gini_index,40.83006399277329
USA,2018,SI.DST.FRST.20,bottom_20_share,3.68
USA,2018,SI.DST.10TH.10,top_10_share,35.34
CHN,2018,SI.POV.GINI,gini_index,46.550000000000004
CHN,2018,SI.DST.FRST.20,bottom_20_share,6.46
CHN,2018,SI.DST.10TH.10,top_10_share,37.3
USA,2019,SI.POV.GINI,gini_index,41.150083518413325
USA,2019,SI.DST.FRST.20,bottom_20_share,3.64
USA,2019,SI.DST.10TH.10,top_10_share,35.519999999999996
CHN,2019,SI.POV.GINI,gini_index,46.2
CHN,2019,SI.DST.FRST.20,bottom_20_share,6.58
CHN,2019,SI.DST.10TH.10,top_10_share,37.15
USA,2020,SI.POV.GINI,gini_index,41.44697576728853
USA,2020,SI.DST.FRST.20,bottom_20_share,3.6
USA,2020,SI.DST.10TH.10,top_10_share,35.7
CHN,2020,SI.POV.GINI,gini_index,45.85
CHN,2020,SI.DST.FRST.20,bottom_20_share,6.699999999999999
CHN,2020,SI.DST.10TH.10,top_10_share,37.0
USA,2021,SI.POV.GINI,gini_index,41.705670804591044
USA,2021,SI.DST.FRST.20,bottom_20_share,3.56
USA,2021,SI.DST.10TH.10,top_10_share,35.88
CHN,2021,SI.POV.GINI,gini_index,45.5
CHN,2021,SI.DST.FRST.20,bottom_20_share,6.819999999999999
CHN,2021,SI.DST.10TH.10,top_10_share,36.849999999999994
USA,2022,SI.POV.GINI,gini_index,41.91530367784744
USA,2022,SI.DST.FRST.20,bottom_20_share,3.5200000000000005
USA,2022,SI.DST.10TH.10,top_10_share,36.06
CHN,2022,SI.POV.GINI,gini_index,45.15
CHN,2022,SI.DST.FRST.20,bottom_20_share,6.9399999999999995
CHN,2022,SI.DST.10TH.10,top_10_share,36.699999999999996
USA,2023,SI.POV.GINI,gini_index,42.07041049724331
USA,2023,SI.DST.FRST.20,bottom_20_share,3.4800000000000004
USA,2023,SI.DST.10TH.10,top_10_share,36.24
CHN,2023,SI.POV.GINI,gini_index,44.800000000000004
CHN,2023,SI.DST.FRST.20,bottom_20_share,7.06
CHN,2023,SI.DST.10TH.10,top_10_share,36.55
